x,r,u,p,e
0.0125, 1, -5.65034e-07, 1, 2.5
0.0375, 0.999997, 4.13325e-06, 0.999995, 2.5
0.0625, 0.999992, 9.96366e-06, 0.999988, 2.49999
0.0875, 1, -5.88707e-06, 1.00001, 2.5
0.1125, 1.00004, -4.54401e-05, 1.00005, 2.50004
0.1375, 1, 5.13854e-07, 1, 2.5
0.1625, 0.999642, 0.000420492, 0.999499, 2.49964
0.1875, 0.998396, 0.00189422, 0.997756, 2.4984
0.2125, 0.994628, 0.00636831, 0.992489, 2.49462
0.2375, 0.983993, 0.0190807, 0.977679, 2.48396
0.2625, 0.956159, 0.0528505, 0.939251, 2.45579
0.2875, 0.905481, 0.116175, 0.87039, 2.40312
0.3125, 0.841445, 0.200712, 0.785486, 2.33374
0.3375, 0.773994, 0.295648, 0.6988, 2.25712
0.3625, 0.708315, 0.394281, 0.616962, 2.17757
0.3875, 0.645919, 0.495314, 0.543081, 2.10197
0.4125, 0.589582, 0.595949, 0.476065, 2.01865
0.4375, 0.533321, 0.69396, 0.415659, 1.94845
0.4625, 0.488361, 0.795416, 0.368238, 1.88507
0.4875, 0.452611, 0.868272, 0.32566, 1.79878
0.5125, 0.426518, 0.914982, 0.305504, 1.79069
0.5375, 0.424026, 0.937346, 0.308608, 1.81951
0.5625, 0.426203, 0.93228, 0.304306, 1.78498
0.5875, 0.427623, 0.921794, 0.299153, 1.74893
0.6125, 0.426372, 0.920515, 0.298158, 1.74822
0.6375, 0.419597, 0.930543, 0.30218, 1.80042
0.6625, 0.388558, 0.940686, 0.306346, 1.97104
0.6875, 0.328331, 0.943103, 0.30722, 2.33925
0.7125, 0.278499, 0.926974, 0.301616, 2.70751
0.7375, 0.257618, 0.909424, 0.296047, 2.87293
0.7625, 0.254905, 0.911536, 0.296979, 2.91265
0.7875, 0.256445, 0.914608, 0.298162, 2.90669
0.8125, 0.257627, 0.907385, 0.295925, 2.87165
0.8375, 0.245021, 0.823936, 0.270017, 2.75505
0.8625, 0.178448, 0.428283, 0.170947, 2.39492
0.8875, 0.131705, 0.0577825, 0.107852, 2.04722
0.9125, 0.125595, 0.00517908, 0.100669, 2.00384
0.9375, 0.125031, 0.000403445, 0.100035, 2.0002
0.9625, 0.124996, -6.24044e-05, 0.0999956, 1.99997
0.9875, 0.125, 4.70628e-06, 0.1, 2
