x,r,u,p,e
0.003125, 1, 0, 1, 2.5
0.009375, 1, 0, 1, 2.5
0.015625, 1, 0, 1, 2.5
0.021875, 1, 0, 1, 2.5
0.028125, 1, 7.43849e-17, 1, 2.5
0.034375, 1, -5.14033e-16, 1, 2.5
0.040625, 1, 2.76446e-16, 1, 2.5
0.046875, 1, 1.12355e-14, 1, 2.5
0.053125, 1, 1.35147e-14, 1, 2.5
0.059375, 1, -9.72822e-14, 1, 2.5
0.065625, 1, -2.31161e-13, 1, 2.5
0.071875, 1, 1.61446e-13, 1, 2.5
0.078125, 1, 2.05263e-12, 1, 2.5
0.084375, 1, 2.86005e-12, 1, 2.5
0.090625, 1, -6.94517e-12, 1, 2.5
0.096875, 1, -2.91088e-11, 1, 2.5
0.103125, 1, -2.4177e-11, 1, 2.5
0.109375, 1, 1.43635e-10, 1, 2.5
0.115625, 1, 3.61962e-10, 1, 2.5
0.121875, 1, 1.24483e-10, 1, 2.5
0.128125, 1, -1.94243e-09, 1, 2.5
0.134375, 1, -4.01916e-09, 1, 2.5
0.140625, 1, -6.34417e-10, 1, 2.5
0.146875, 1, 2.12849e-08, 1, 2.5
0.153125, 1, 4.18965e-08, 1, 2.5
0.159375, 1, 1.48417e-08, 1, 2.5
0.165625, 1, -1.83455e-07, 1, 2.5
0.171875, 1, -4.2345e-07, 1, 2.5
0.178125, 1, -3.47795e-07, 1, 2.5
0.184375, 0.999999, 1.12895e-06, 0.999999, 2.5
0.190625, 0.999997, 3.89824e-06, 0.999995, 2.5
0.196875, 0.999996, 4.92017e-06, 0.999994, 2.5
0.203125, 1, -5.24809e-07, 1, 2.5
0.209375, 1.00002, -2.16272e-05, 1.00003, 2.50002
0.215625, 1.00004, -4.91254e-05, 1.00006, 2.50004
0.221875, 1.00005, -5.5969e-05, 1.00007, 2.50005
0.228125, 1, -2.1135e-06, 1, 2.5
0.234375, 0.999748, 0.000297723, 0.999648, 2.49975
0.240625, 0.999013, 0.00116667, 0.998619, 2.49901
