x,r,u,p,e
0.025, 0.999993, 1.35601e-05, 0.99999, 2.49999
0.075, 0.999697, 0.000353747, 0.999575, 2.4997
0.125, 0.998352, 0.00194468, 0.997694, 2.49835
0.175, 0.99301, 0.00829381, 0.990234, 2.49301
0.225, 0.974004, 0.0311822, 0.963871, 2.47399
0.275, 0.915371, 0.104174, 0.884016, 2.41436
0.325, 0.808879, 0.243057, 0.743691, 2.29852
0.375, 0.689764, 0.426181, 0.596635, 2.16246
0.425, 0.582941, 0.612666, 0.46366, 1.98845
0.475, 0.460779, 0.787494, 0.367684, 1.9949
0.525, 0.459116, 0.909996, 0.318651, 1.73513
0.575, 0.443404, 0.921865, 0.300064, 1.69182
0.625, 0.395863, 0.918144, 0.30039, 1.89706
0.675, 0.329651, 0.925817, 0.30146, 2.28621
0.725, 0.282356, 0.933438, 0.303814, 2.68999
0.775, 0.259818, 0.923675, 0.30039, 2.89039
0.825, 0.234577, 0.809233, 0.265259, 2.827
0.875, 0.167416, 0.35285, 0.156295, 2.33393
0.925, 0.12957, 0.0391425, 0.105285, 2.03143
0.975, 0.125502, 0.00396161, 0.100564, 2.00322
