x,r,u,p,e
0.0125, 1, 5.05322e-07, 0.999999, 2.5
0.0375, 0.999998, 2.10692e-06, 0.999998, 2.5
0.0625, 0.999999, 6.6314e-07, 0.999999, 2.5
0.0875, 1.00001, -1.65835e-05, 1.00002, 2.50001
0.1125, 1.00003, -3.23312e-05, 1.00004, 2.50003
0.1375, 0.999984, 1.97443e-05, 0.999977, 2.49998
0.1625, 0.999629, 0.000435557, 0.999481, 2.49963
0.1875, 0.998376, 0.00191815, 0.997728, 2.49838
0.2125, 0.994548, 0.00646329, 0.992377, 2.49454
0.2375, 0.983716, 0.0194138, 0.977294, 2.48368
0.2625, 0.955437, 0.0537328, 0.938261, 2.45506
0.2875, 0.904378, 0.117587, 0.868909, 2.40195
0.3125, 0.840244, 0.202385, 0.783914, 2.3324
0.3375, 0.772813, 0.297143, 0.697336, 2.25584
0.3625, 0.70781, 0.395714, 0.616196, 2.17642
0.3875, 0.644973, 0.495659, 0.542556, 2.10302
0.4125, 0.590198, 0.594847, 0.476161, 2.01695
0.4375, 0.535079, 0.69389, 0.418111, 1.9535
0.4625, 0.486371, 0.786765, 0.368289, 1.89304
0.4875, 0.45426, 0.870386, 0.330215, 1.81732
0.5125, 0.42957, 0.914576, 0.307952, 1.79221
0.5375, 0.418766, 0.927035, 0.302769, 1.80751
0.5625, 0.421429, 0.926492, 0.303498, 1.80041
0.5875, 0.431334, 0.929273, 0.302741, 1.75468
0.6125, 0.436399, 0.930324, 0.303012, 1.73586
0.6375, 0.427953, 0.931016, 0.303322, 1.77194
0.6625, 0.382344, 0.930962, 0.303439, 1.98408
0.6875, 0.317658, 0.9297, 0.303109, 2.3855
0.7125, 0.275358, 0.92683, 0.302306, 2.74466
0.7375, 0.262263, 0.925003, 0.301859, 2.87744
0.7625, 0.259925, 0.923835, 0.301623, 2.90105
0.7875, 0.260078, 0.920965, 0.300781, 2.89126
0.8125, 0.25948, 0.905438, 0.295711, 2.84908
0.8375, 0.243213, 0.808406, 0.265593, 2.73005
0.8625, 0.1747, 0.400709, 0.16552, 2.36863
0.8875, 0.131093, 0.0523769, 0.1071, 2.04245
0.9125, 0.125559, 0.00489742, 0.100628, 2.00361
0.9375, 0.12503, 0.000380471, 0.100033, 2.00019
0.9625, 0.124995, -4.61683e-05, 0.0999945, 1.99997
0.9875, 0.124999, -8.02212e-06, 0.0999987, 1.99999
