x,r,u,p,e
0.709375, 0.262055, 0.927043, 0.302852, 2.8892
0.715625, 0.262471, 0.927128, 0.302874, 2.88482
0.721875, 0.263826, 0.927725, 0.30307, 2.87188
0.728125, 0.265354, 0.928434, 0.30331, 2.8576
0.734375, 0.266363, 0.928721, 0.303414, 2.84775
0.740625, 0.266554, 0.928252, 0.303269, 2.84435
0.746875, 0.266256, 0.927332, 0.302975, 2.84477
0.753125, 0.265872, 0.926606, 0.302748, 2.84675
0.759375, 0.265703, 0.926694, 0.302796, 2.84901
0.765625, 0.26581, 0.927636, 0.303133, 2.85102
0.771875, 0.266005, 0.928784, 0.303537, 2.85273
0.778125, 0.266059, 0.929329, 0.303739, 2.85406
0.784375, 0.265785, 0.928506, 0.303479, 2.85455
0.790625, 0.265294, 0.926753, 0.302907, 2.85445
0.796875, 0.264922, 0.925489, 0.302497, 2.85459
0.803125, 0.264977, 0.925996, 0.302683, 2.85575
0.809375, 0.265335, 0.927581, 0.303226, 2.85701
0.815625, 0.26573, 0.928995, 0.303712, 2.85733
0.821875, 0.266017, 0.929687, 0.30395, 2.85649
0.828125, 0.266044, 0.929162, 0.303779, 2.85459
0.834375, 0.265332, 0.925451, 0.302537, 2.85055
0.840625, 0.261762, 0.908348, 0.296811, 2.83474
0.846875, 0.24319, 0.814682, 0.267575, 2.75068
0.853125, 0.176839, 0.418543, 0.169182, 2.39176
0.859375, 0.131734, 0.0579074, 0.107877, 2.04725
0.865625, 0.125629, 0.00546862, 0.100708, 2.00406
0.871875, 0.125035, 0.00045432, 0.100039, 2.00023
0.878125, 0.124996, -6.64081e-05, 0.0999954, 1.99997
0.884375, 0.125001, 6.69688e-06, 0.100001, 2
0.890625, 0.125001, 9.86723e-06, 0.100001, 2.00001
0.896875, 0.125, -5.38069e-07, 0.0999999, 2
0.903125, 0.125, -8.80842e-07, 0.0999999, 2
0.909375, 0.125, 1.69509e-07, 0.1, 2
0.915625, 0.125, 9.16851e-08, 0.1, 2
0.921875, 0.125, -2.55997e-08, 0.1, 2
0.928125, 0.125, -7.94967e-09, 0.1, 2
0.934375, 0.125, 3.59433e-09, 0.1, 2
0.940625, 0.125, 6.02166e-10, 0.1, 2
0.946875, 0.125, -4.53195e-10, 0.1, 2
0.953125, 0.125, -2.9489e-11, 0.1, 2
0.959375, 0.125, 5.34323e-11, 0.1, 2
0.965625, 0.125, -1.14015e-12, 0.1, 2
0.971875, 0.125, -5.89307e-12, 0.1, 2
0.978125, 0.125, 6.21184e-13, 0.1, 2
0.984375, 0.125, 6.09047e-13, 0.1, 2
0.990625, 0.125, -1.17727e-13, 0.1, 2
0.996875, 0.125, -5.4956e-14, 0.1, 2
