x,r,u,p,e
0.00625, 1, -2.58178e-10, 1, 2.5
0.01875, 1, 4.24868e-09, 1, 2.5
0.03125, 1, 6.87274e-09, 1, 2.5
0.04375, 1, -1.39982e-08, 1, 2.5
0.05625, 1, -4.90031e-08, 1, 2.5
0.06875, 1, 8.56086e-09, 1, 2.5
0.08125, 1, 2.37525e-07, 1, 2.5
0.09375, 1, 2.65339e-07, 1, 2.5
0.10625, 1, -6.8606e-07, 1, 2.5
0.11875, 1, -2.05247e-06, 1, 2.5
0.13125, 1, 7.05101e-09, 1, 2.5
0.14375, 0.999993, 8.60943e-06, 0.99999, 2.49999
0.15625, 0.999988, 1.43492e-05, 0.999983, 2.49999
0.16875, 1.00001, -6.46139e-06, 1.00001, 2.50001
0.18125, 1.00005, -5.50455e-05, 1.00007, 2.50005
0.19375, 1.00004, -4.63457e-05, 1.00006, 2.50004
0.20625, 0.999806, 0.000229438, 0.999728, 2.49981
0.21875, 0.999008, 0.00117168, 0.998612, 2.49901
0.23125, 0.996918, 0.00364944, 0.995688, 2.49692
0.24375, 0.991896, 0.00962039, 0.988675, 2.49188
0.25625, 0.980354, 0.0234385, 0.972617, 2.48027
0.26875, 0.958731, 0.0496382, 0.942737, 2.45829
0.28125, 0.92869, 0.086865, 0.901656, 2.42723
0.29375, 0.894123, 0.130939, 0.855027, 2.39069
0.30625, 0.858012, 0.178463, 0.807071, 2.35157
0.31875, 0.821912, 0.227596, 0.759928, 2.31146
0.33125, 0.786462, 0.277555, 0.714431, 2.27103
0.34375, 0.751913, 0.328009, 0.670874, 2.23056
0.35625, 0.718383, 0.378783, 0.629355, 2.19018
0.36875, 0.685918, 0.429775, 0.589904, 2.15005
0.38125, 0.654584, 0.480894, 0.552491, 2.11008
0.39375, 0.624307, 0.532076, 0.517073, 2.07059
0.40625, 0.595234, 0.583336, 0.483645, 2.03132
0.41875, 0.567168, 0.634463, 0.45205, 1.99257
0.43125, 0.540365, 0.685479, 0.422315, 1.95384
0.44375, 0.514688, 0.736563, 0.394585, 1.91662
0.45625, 0.489568, 0.786077, 0.368319, 1.88084
0.46875, 0.468468, 0.83507, 0.345091, 1.84159
0.48125, 0.446971, 0.878172, 0.325213, 1.81898
0.49375, 0.432187, 0.904925, 0.31007, 1.79361
0.50625, 0.432109, 0.927549, 0.306675, 1.77429
0.51875, 0.427462, 0.928993, 0.303648, 1.77588
0.53125, 0.422202, 0.926157, 0.301282, 1.78399
0.54375, 0.422664, 0.926928, 0.301104, 1.78099
0.55625, 0.426339, 0.93092, 0.302448, 1.77352
0.56875, 0.428856, 0.933332, 0.303388, 1.76859
0.58125, 0.426655, 0.931271, 0.302618, 1.7732
0.59375, 0.422237, 0.927685, 0.301383, 1.78444
0.60625, 0.420759, 0.926534, 0.301315, 1.79031
0.61875, 0.424411, 0.928799, 0.302676, 1.78292
0.63125, 0.428736, 0.931002, 0.303953, 1.77238
0.64375, 0.429703, 0.929968, 0.303725, 1.76706
0.65625, 0.422992, 0.926747, 0.302475, 1.78771
0.66875, 0.39963, 0.924892, 0.301813, 1.88808
0.68125, 0.351977, 0.926242, 0.302505, 2.14861
0.69375, 0.300212, 0.929069, 0.303684, 2.52891
0.70625, 0.270226, 0.931531, 0.304602, 2.81803
0.71875, 0.262205, 0.931636, 0.304696, 2.90513
0.73125, 0.260482, 0.927987, 0.303522, 2.91308
0.74375, 0.260875, 0.923106, 0.301938, 2.89351
0.75625, 0.262335, 0.920436, 0.30108, 2.86923
0.76875, 0.264545, 0.923138, 0.302005, 2.854
0.78125, 0.266649, 0.928455, 0.303804, 2.84836
0.79375, 0.267879, 0.932842, 0.305288, 2.84912
0.80625, 0.267991, 0.934122, 0.305714, 2.8519
0.81875, 0.266658, 0.929628, 0.304181, 2.85179
0.83125, 0.261851, 0.908114, 0.296934, 2.83496
0.84375, 0.240987, 0.801565, 0.263788, 2.73654
0.85625, 0.173043, 0.389811, 0.163512, 2.36231
0.86875, 0.13099, 0.0514037, 0.106969, 2.04154
0.88125, 0.125571, 0.00499201, 0.100642, 2.00368
0.89375, 0.125031, 0.000402004, 0.100035, 2.0002
0.90625, 0.124996, -6.41548e-05, 0.0999954, 1.99997
0.91875, 0.125001, 7.79716e-06, 0.100001, 2.00001
0.93125, 0.125001, 9.68063e-06, 0.100001, 2.00001
0.94375, 0.125, -6.64835e-07, 0.0999999, 2
0.95625, 0.125, -8.72315e-07, 0.0999999, 2
0.96875, 0.125, 1.79988e-07, 0.1, 2
0.98125, 0.125, 9.10973e-08, 0.1, 2
0.99375, 0.125, -2.14441e-08, 0.1, 2
