x,r,u,p,e
0.151172, 1, 1.57881e-13, 1, 2.5
0.151953, 1, 1.64294e-13, 1, 2.5
0.152734, 1, 1.70708e-13, 1, 2.5
0.153516, 1, 1.77129e-13, 1, 2.5
0.154297, 1, 1.83543e-13, 1, 2.5
0.155078, 1, 1.89939e-13, 1, 2.5
0.155859, 1, 1.96336e-13, 1, 2.5
0.156641, 1, 2.0275e-13, 1, 2.5
0.157422, 1, 2.09225e-13, 1, 2.5
0.158203, 1, 2.1584e-13, 1, 2.5
0.158984, 1, 2.23493e-13, 1, 2.5
0.159766, 1, 2.35486e-13, 1, 2.5
0.160547, 1, 2.54345e-13, 1, 2.5
0.161328, 1, 2.83007e-13, 1, 2.5
0.162109, 1, 3.26807e-13, 1, 2.5
0.162891, 1, 3.92046e-13, 1, 2.5
0.163672, 1, 4.88047e-13, 1, 2.5
0.164453, 1, 6.27445e-13, 1, 2.5
0.165234, 1, 8.28255e-13, 1, 2.5
0.166016, 1, 1.11572e-12, 1, 2.5
0.166797, 1, 1.52498e-12, 1, 2.5
0.167578, 1, 2.10507e-12, 1, 2.5
0.168359, 1, 2.9239e-12, 1, 2.5
0.169141, 1, 4.07604e-12, 1, 2.5
0.169922, 1, 5.69235e-12, 1, 2.5
0.170703, 1, 7.95316e-12, 1, 2.5
0.171484, 1, 1.11067e-11, 1, 2.5
0.172266, 1, 1.54934e-11, 1, 2.5
0.173047, 1, 2.15801e-11, 1, 2.5
0.173828, 1, 3.00037e-11, 1, 2.5
0.174609, 1, 4.16316e-11, 1, 2.5
0.175391, 1, 5.76416e-11, 1, 2.5
0.176172, 1, 7.963e-11, 1, 2.5
0.176953, 1, 1.09753e-10, 1, 2.5
0.177734, 1, 1.50914e-10, 1, 2.5
0.178516, 1, 2.07018e-10, 1, 2.5
0.179297, 1, 2.83296e-10, 1, 2.5
0.180078, 1, 3.86739e-10, 1, 2.5
0.180859, 1, 5.26665e-10, 1, 2.5
0.181641, 1, 7.15461e-10, 1, 2.5
0.182422, 1, 9.69543e-10, 1, 2.5
0.183203, 1, 1.31062e-09, 1, 2.5
0.183984, 1, 1.76728e-09, 1, 2.5
0.184766, 1, 2.37716e-09, 1, 2.5
0.185547, 1, 3.18953e-09, 1, 2.5
0.186328, 1, 4.26883e-09, 1, 2.5
0.187109, 1, 5.69907e-09, 1, 2.5
0.187891, 1, 7.58941e-09, 1, 2.5
0.188672, 1, 1.00813e-08, 1, 2.5
0.189453, 1, 1.33577e-08, 1, 2.5
0.190234, 1, 1.76542e-08, 1, 2.5
0.191016, 1, 2.32735e-08, 1, 2.5
0.191797, 1, 3.06035e-08, 1, 2.5
0.192578, 1, 4.01396e-08, 1, 2.5
0.193359, 1, 5.25129e-08, 1, 2.5
0.194141, 1, 6.85247e-08, 1, 2.5
0.194922, 1, 8.91894e-08, 1, 2.5
0.195703, 1, 1.15788e-07, 1, 2.5
0.196484, 1, 1.49931e-07, 1, 2.5
0.197266, 1, 1.9364e-07, 1, 2.5
0.198047, 1, 2.49445e-07, 1, 2.5
0.198828, 1, 3.20499e-07, 1, 2.5
0.199609, 1, 4.10721e-07, 1, 2.5
0.200391, 1, 5.24969e-07, 0.999999, 2.5
0.201172, 0.999999, 6.69243e-07, 0.999999, 2.5
0.201953, 0.999999, 8.50931e-07, 0.999999, 2.5
0.202734, 0.999999, 1.0791e-06, 0.999999, 2.5
0.203516, 0.999999, 1.36485e-06, 0.999998, 2.5
0.204297, 0.999999, 1.72172e-06, 0.999998, 2.5
0.205078, 0.999998, 2.16614e-06, 0.999997, 2.5
0.205859, 0.999998, 2.71806e-06, 0.999997, 2.5
0.206641, 0.999997, 3.40154e-06, 0.999996, 2.5
0.207422, 0.999996, 4.24554e-06, 0.999995, 2.5
0.208203, 0.999996, 5.2848e-06, 0.999994, 2.5
0.208984, 0.999994, 6.56084e-06, 0.999992, 2.49999
