x,r,u,p,e
0.025, 0.999998, 7.75317e-06, 0.999997, 2.5
0.075, 0.999707, 0.000341123, 0.99959, 2.49971
0.125, 0.998374, 0.00191959, 0.997725, 2.49837
0.175, 0.993147, 0.00813074, 0.990426, 2.49315
0.225, 0.974545, 0.0305203, 0.964617, 2.47453
0.275, 0.917001, 0.102183, 0.886208, 2.41605
0.325, 0.810712, 0.239969, 0.746114, 2.3008
0.375, 0.692662, 0.424706, 0.599343, 2.16318
0.425, 0.579332, 0.6114, 0.462438, 1.99557
0.475, 0.47076, 0.788399, 0.363225, 1.92893
0.525, 0.458346, 0.942613, 0.321509, 1.75364
0.575, 0.431746, 0.907135, 0.296747, 1.7183
0.625, 0.381128, 0.894195, 0.288954, 1.89539
0.675, 0.334059, 0.922216, 0.299213, 2.23922
0.725, 0.29623, 0.956504, 0.311195, 2.62629
0.775, 0.268295, 0.960875, 0.312164, 2.90878
0.825, 0.231874, 0.812755, 0.265697, 2.86467
0.875, 0.158582, 0.291172, 0.145177, 2.28867
0.925, 0.128209, 0.0275677, 0.103692, 2.02194
0.975, 0.125337, 0.00258218, 0.100378, 2.00216
